2020-07-22 16:50:51 _internal.py [line:113] INFO:  * Restarting with stat
2020-07-22 16:51:11 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.15.153.10', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省鹤壁市  电信', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:11 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '112.64.41.169', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '上海市上海市  联通', 'score': 45, 'disable_domains': []}
2020-07-22 16:51:13 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '125.108.93.141', 'port': '9000', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '浙江省温州市  电信', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:13 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '39.107.224.201', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_北京市阿里云', 'score': 48, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '182.253.86.214', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '印度尼西亚', 'score': 49, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.45', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 42, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.55', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '27.113.241.87', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '澳大利亚', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.15.153.10', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省鹤壁市  电信', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '182.253.86.214', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '印度尼西亚', 'score': 49, 'disable_domains': []}
2020-07-22 16:51:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '112.64.41.169', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '上海市上海市  联通', 'score': 45, 'disable_domains': []}
2020-07-22 16:51:16 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '125.108.93.141', 'port': '9000', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '浙江省温州市  电信', 'score': 41, 'disable_domains': []}
